week,mean,lo,hi,sim,method,Rt_true
40,1.0810418139624272,0.5710082147919555,2.1781486738318505,1,NeuralSBI,0.19728924703561296
41,1.0860957455375175,0.5779694604207289,2.1025091515461267,1,NeuralSBI,0.19926841645723678
42,1.0836394711231803,0.5753913500748605,2.030625387816124,1,NeuralSBI,0.20204958595255695
43,1.088035682247767,0.5831445727437784,2.0092932195397215,1,NeuralSBI,0.20558596221500594
44,1.0992082987551681,0.5954964695795244,2.0230305661260783,1,NeuralSBI,0.20983431031923097
45,1.1079767531420268,0.6073768617886732,2.0175266459825427,1,NeuralSBI,0.2147527111811781
46,1.1201763642820401,0.6053760104826297,2.016851394410673,1,NeuralSBI,0.22029846623188307
47,1.1315459729128075,0.6109853409212062,2.088102816397515,1,NeuralSBI,0.2264261134865667
48,1.145400612241609,0.6093484812407123,2.1840266544751503,1,NeuralSBI,0.2330855374528043
49,1.1612006327075637,0.5962017238033774,2.3180772619589822,1,NeuralSBI,0.24022017247693728
50,1.1744384152290568,0.5835024071967596,2.49690703642557,1,NeuralSBI,0.24776531564490165
51,1.1851829916064731,0.5464510875109276,2.6905972524229194,1,NeuralSBI,0.2556465813989316
4,2.4571391215707337,2.362923442750296,2.5531708138501146,2,EpiEstim,1.716284404159195
5,2.914019719684476,2.8476288497674513,2.981164995839903,2,EpiEstim,1.7085536138958068
6,2.1248640126418357,2.0912167846555927,2.1587760513750593,2,EpiEstim,1.6943418922761952
7,2.9435619351169184,2.9161042856748325,2.9711464703835606,2,EpiEstim,1.664803656493744
8,2.0975862987866862,2.083912899803404,2.1113037925286045,2,EpiEstim,1.5995103765272645
9,2.807719126774157,2.7966920930007597,2.818767557906472,2,EpiEstim,1.4598100548531736
10,2.690968314856308,2.6844518119835454,2.697492608737447,2,EpiEstim,1.2066916564080004
11,1.3780579254817475,1.375184253737874,1.3809345552908905,2,EpiEstim,0.879337365944721
12,1.0923938937646551,1.090204611520464,1.0945853417559277,2,EpiEstim,0.6101393966114182
13,0.6400631466433141,0.6384578697917755,0.6416704112764916,2,EpiEstim,0.4599178927987313
14,0.7116956680792345,0.7096003144646024,0.7137940682246242,2,EpiEstim,0.39107348046996016
15,0.5251522954721789,0.5230330082797896,0.527275808514062,2,EpiEstim,0.3602429002356031
16,0.6269669220646935,0.6238193655511589,0.6301222900670086,2,EpiEstim,0.34455660779956493
17,0.2845394190263923,0.2818891334337523,0.2872019338604481,2,EpiEstim,0.3343788523782273
18,0.2624930699633224,0.2579186513564352,0.26710714082818,2,EpiEstim,0.32590800653480434
19,0.4472350626226907,0.4360741307537223,0.4585350604814219,2,EpiEstim,0.31768017683176764
20,0.3508787958142782,0.3364171162152893,0.365640543217969,2,EpiEstim,0.3092656372165763
